ID	父级ID	代码	代码2	名称	级别
1	0		null	北京市	1
2	1	110100000000	null	市辖区	2
3	2	110101000000	null	东城区	3
4	2	110102000000	null	西城区	3
5	2	110105000000	null	朝阳区	3
6	2	110106000000	null	丰台区	3
7	2	110107000000	null	石景山区	3
8	2	110108000000	null	海淀区	3
9	2	110109000000	null	门头沟区	3
10	2	110111000000	null	房山区	3
11	2	110112000000	null	通州区	3
12	2	110113000000	null	顺义区	3
13	2	110114000000	null	昌平区	3
14	2	110115000000	null	大兴区	3
15	2	110116000000	null	怀柔区	3
16	2	110117000000	null	平谷区	3
17	2	110118000000	null	密云区	3
18	2	110119000000	null	延庆区	3
19	0		null	天津市	1
20	19	120100000000	null	市辖区	2
21	20	120101000000	null	和平区	3
22	20	120102000000	null	河东区	3
23	20	120103000000	null	河西区	3
24	20	120104000000	null	南开区	3
25	20	120105000000	null	河北区	3
26	20	120106000000	null	红桥区	3
27	20	120110000000	null	东丽区	3
28	20	120111000000	null	西青区	3
29	20	120112000000	null	津南区	3
30	20	120113000000	null	北辰区	3
31	20	120114000000	null	武清区	3
32	20	120115000000	null	宝坻区	3
33	20	120116000000	null	滨海新区	3
34	20	120117000000	null	宁河区	3
35	20	120118000000	null	静海区	3
36	20	120119000000	null	蓟州区	3
37	0		null	河北省	1
38	37	130100000000	null	石家庄市	2
39	38	130101000000	null	市辖区	3
40	38	130102000000	null	长安区	3
41	38	130104000000	null	桥西区	3
42	38	130105000000	null	新华区	3
43	38	130107000000	null	井陉矿区	3
44	38	130108000000	null	裕华区	3
45	38	130109000000	null	藁城区	3
46	38	130110000000	null	鹿泉区	3
47	38	130111000000	null	栾城区	3
48	38	130121000000	null	井陉县	3
49	38	130123000000	null	正定县	3
50	38	130125000000	null	行唐县	3
51	38	130126000000	null	灵寿县	3
52	38	130127000000	null	高邑县	3
53	38	130128000000	null	深泽县	3
54	38	130129000000	null	赞皇县	3
55	38	130130000000	null	无极县	3
56	38	130131000000	null	平山县	3
57	38	130132000000	null	元氏县	3
58	38	130133000000	null	赵县	3
59	38	130171000000	null	石家庄高新技术产业开发区	3
60	38	130172000000	null	石家庄循环化工园区	3
61	38	130181000000	null	辛集市	3
62	38	130183000000	null	晋州市	3
63	38	130184000000	null	新乐市	3
64	37	130200000000	null	唐山市	2
65	64	130201000000	null	市辖区	3
66	64	130202000000	null	路南区	3
67	64	130203000000	null	路北区	3
68	64	130204000000	null	古冶区	3
69	64	130205000000	null	开平区	3
70	64	130207000000	null	丰南区	3
71	64	130208000000	null	丰润区	3
72	64	130209000000	null	曹妃甸区	3
73	64	130224000000	null	滦南县	3
74	64	130225000000	null	乐亭县	3
75	64	130227000000	null	迁西县	3
76	64	130229000000	null	玉田县	3
77	64	130271000000	null	河北唐山芦台经济开发区	3
78	64	130272000000	null	唐山市汉沽管理区	3
79	64	130273000000	null	唐山高新技术产业开发区	3
80	64	130274000000	null	河北唐山海港经济开发区	3
81	64	130281000000	null	遵化市	3
82	64	130283000000	null	迁安市	3
83	64	130284000000	null	滦州市	3
84	37	130300000000	null	秦皇岛市	2
85	84	130301000000	null	市辖区	3
86	84	130302000000	null	海港区	3
87	84	130303000000	null	山海关区	3
88	84	130304000000	null	北戴河区	3
89	84	130306000000	null	抚宁区	3
90	84	130321000000	null	青龙满族自治县	3
91	84	130322000000	null	昌黎县	3
92	84	130324000000	null	卢龙县	3
93	84	130371000000	null	秦皇岛市经济技术开发区	3
94	84	130372000000	null	北戴河新区	3
95	37	130400000000	null	邯郸市	2
96	95	130401000000	null	市辖区	3
97	95	130402000000	null	邯山区	3
98	95	130403000000	null	丛台区	3
99	95	130404000000	null	复兴区	3
100	95	130406000000	null	峰峰矿区	3
101	95	130407000000	null	肥乡区	3
102	95	130408000000	null	永年区	3
103	95	130423000000	null	临漳县	3
104	95	130424000000	null	成安县	3
105	95	130425000000	null	大名县	3
106	95	130426000000	null	涉县	3
107	95	130427000000	null	磁县	3
108	95	130430000000	null	邱县	3
109	95	130431000000	null	鸡泽县	3
110	95	130432000000	null	广平县	3
111	95	130433000000	null	馆陶县	3
112	95	130434000000	null	魏县	3
113	95	130435000000	null	曲周县	3
114	95	130471000000	null	邯郸经济技术开发区	3
115	95	130473000000	null	邯郸冀南新区	3
116	95	130481000000	null	武安市	3
117	37	130500000000	null	邢台市	2
118	117	130501000000	null	市辖区	3
119	117	130502000000	null	襄都区	3
120	117	130503000000	null	信都区	3
121	117	130505000000	null	任泽区	3
122	117	130506000000	null	南和区	3
123	117	130522000000	null	临城县	3
124	117	130523000000	null	内丘县	3
125	117	130524000000	null	柏乡县	3
126	117	130525000000	null	隆尧县	3
127	117	130528000000	null	宁晋县	3
128	117	130529000000	null	巨鹿县	3
129	117	130530000000	null	新河县	3
130	117	130531000000	null	广宗县	3
131	117	130532000000	null	平乡县	3
132	117	130533000000	null	威县	3
133	117	130534000000	null	清河县	3
134	117	130535000000	null	临西县	3
135	117	130571000000	null	河北邢台经济开发区	3
136	117	130581000000	null	南宫市	3
137	117	130582000000	null	沙河市	3
138	37	130600000000	null	保定市	2
139	138	130601000000	null	市辖区	3
140	138	130602000000	null	竞秀区	3
141	138	130606000000	null	莲池区	3
